,string
1660,2294.102872
1661,2295.720906
1662,2296.720906
1663,2298.33894
1664,2299.956974
1665,2300.956974
1666,2302.575008
1667,2303.575008
1668,2305.193042
1669,2306.811076
1670,2307.811076
1671,2309.42911
1672,2310.42911
1673,2312.047144
1674,2313.665178
1675,2314.665178
1676,2316.283212
1677,2317.901246
1678,2318.901246
1679,2320.51928
1680,2321.51928
1681,2323.137314
1682,2324.755348
1683,2325.755348
1684,2327.373382
1685,2328.991416
1686,2329.991416
1687,2331.60945
1688,2332.60945
1689,2334.227484
1690,2335.845518
1691,2336.845518
1692,2338.463552
1693,2339.463552
1694,2341.081586
1695,2342.69962
1696,2343.69962
1697,2345.317654
1698,2346.935688
1699,2347.935688
1700,2349.553722
1701,2350.553722
1702,2352.171756
1703,2353.78979
1704,2354.78979
1705,2356.407824
1706,2357.407824
1707,2359.025858
1708,2360.643892
1709,2361.643892
1710,2363.261926
1711,2364.87996
1712,2365.87996
1713,2367.497994
1714,2368.497994
1715,2370.116028
1716,2371.734062
1717,2372.734062
1718,2374.352096
1719,2375.97013
1720,2376.97013
1721,2378.588164
1722,2379.588164
1723,2381.206198
1724,2382.824232
1725,2383.824232
1726,2385.442266
1727,2386.442266
1728,2388.0603
1729,2389.678334
1730,2390.678334
1731,2392.296368
1732,2393.914402
1733,2394.914402
1734,2396.532436
1735,2397.532436
1736,2399.15047
1737,2400.768504
1738,2401.768504
1739,2403.386538
1740,2404.386538
1741,2406.004572
1742,2407.622606
1743,2408.622606
1744,2410.24064
